"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Autauga County, AL"	"01001"	520	55416	9.384	8.844
	"Baldwin County, AL"	"01003"	1974	208563	9.465	7.169
	"Barbour County, AL"	"01005"	256	25965	9.859	8.007
	"Bibb County, AL"	"01007"	239	22643	10.555	9.277
	"Blount County, AL"	"01009"	697	57704	12.079	9.894
	"Bullock County, AL"	"01011"	133	10362	12.835	10.630
	"Butler County, AL"	"01013"	275	19998	13.751	10.140
	"Calhoun County, AL"	"01015"	1404	114611	12.250	10.238
	"Chambers County, AL"	"01017"	460	33843	13.592	10.158
	"Cherokee County, AL"	"01019"	361	25725	14.033	10.223
	"Chilton County, AL"	"01021"	475	43941	10.810	9.200
	"Choctaw County, AL"	"01023"	180	12993	13.854	9.789
	"Clarke County, AL"	"01025"	315	24392	12.914	9.428
	"Clay County, AL"	"01027"	177	13492	13.119	9.169
	"Cleburne County, AL"	"01029"	191	14924	12.798	9.713
	"Coffee County, AL"	"01031"	508	51226	9.917	8.433
	"Colbert County, AL"	"01033"	707	54216	13.040	9.558
	"Conecuh County, AL"	"01035"	153	12395	12.344	8.227
	"Coosa County, AL"	"01037"	160	10581	15.121	11.678
	"Covington County, AL"	"01039"	503	37458	13.428	9.498
	"Crenshaw County, AL"	"01041"	191	13913	13.728	9.997
	"Cullman County, AL"	"01043"	1012	82471	12.271	9.889
	"Dale County, AL"	"01045"	550	49226	11.173	9.524
	"Dallas County, AL"	"01047"	571	40008	14.272	11.842
	"DeKalb County, AL"	"01049"	792	70900	11.171	9.746
	"Elmore County, AL"	"01051"	799	81799	9.768	9.175
	"Escambia County, AL"	"01053"	522	37728	13.836	11.339
	"Etowah County, AL"	"01055"	1389	102564	13.543	10.710
	"Fayette County, AL"	"01057"	249	16546	15.049	10.683
	"Franklin County, AL"	"01059"	376	31628	11.888	10.219
	"Geneva County, AL"	"01061"	379	26614	14.241	10.227
	"Greene County, AL"	"01063"	104	8422	12.349	8.860
	"Hale County, AL"	"01065"	189	14952	12.640	9.749
	"Henry County, AL"	"01067"	215	17164	12.526	8.708
	"Houston County, AL"	"01069"	1112	104056	10.687	8.871
	"Jackson County, AL"	"01071"	736	52138	14.116	10.765
	"Jefferson County, AL"	"01073"	7137	659521	10.821	9.257
	"Lamar County, AL"	"01075"	205	13918	14.729	10.297
	"Lauderdale County, AL"	"01077"	1161	92318	12.576	9.335
	"Lawrence County, AL"	"01079"	400	33244	12.032	10.218
	"Lee County, AL"	"01081"	1007	158991	6.334	7.566
	"Limestone County, AL"	"01083"	727	92753	7.838	7.384
	"Lowndes County, AL"	"01085"	148	10358	14.288	11.229
	"Macon County, AL"	"01087"	259	18963	13.658	10.456
	"Madison County, AL"	"01089"	3282	356967	9.194	8.342
	"Marengo County, AL"	"01091"	270	19673	13.724	9.639
	"Marion County, AL"	"01093"	388	29998	12.934	9.295
	"Marshall County, AL"	"01095"	1187	95157	12.474	10.528
	"Mobile County, AL"	"01097"	4411	414836	10.633	9.444
	"Monroe County, AL"	"01099"	237	21530	11.008	8.618
	"Montgomery County, AL"	"01101"	2150	226349	9.499	8.776
	"Morgan County, AL"	"01103"	1318	119012	11.075	9.219
	"Perry County, AL"	"01105"	129	9574	13.474	10.474
	"Pickens County, AL"	"01107"	250	20324	12.301	9.533
	"Pike County, AL"	"01109"	302	33286	9.073	8.661
	"Randolph County, AL"	"01111"	295	22652	13.023	9.120
	"Russell County, AL"	"01113"	657	58172	11.294	10.916
	"St. Clair County, AL"	"01115"	975	88019	11.077	9.992
	"Shelby County, AL"	"01117"	1490	210622	7.074	6.876
	"Sumter County, AL"	"01119"	164	13040	12.577	9.890
	"Talladega County, AL"	"01121"	1018	80103	12.709	10.427
	"Tallapoosa County, AL"	"01123"	589	40727	14.462	10.692
	"Tuscaloosa County, AL"	"01125"	1763	206102	8.554	9.033
	"Walker County, AL"	"01127"	1012	64967	15.577	12.414
	"Washington County, AL"	"01129"	212	16756	12.652	10.438
	"Wilcox County, AL"	"01131"	125	10986	11.378	8.571
	"Winston County, AL"	"01133"	324	23805	13.611	9.610
	"Aleutians East Borough, AK"	"02013"	12	3296	3.641 (Unreliable)	4.750 (Unreliable)
	"Aleutians West Census Area, AK"	"02016"	22	5647	3.896	5.943
	"Anchorage Borough, AK"	"02020"	1724	298192	5.782	7.174
	"Bethel Census Area, AK"	"02050"	122	17968	6.790	11.465
	"Bristol Bay Borough, AK"	"02060"	Suppressed	898	Suppressed	Suppressed
	"Denali Borough, AK"	"02068"	10	1953	5.120 (Unreliable)	8.074 (Unreliable)
	"Dillingham Census Area, AK"	"02070"	31	4954	6.258	8.497
	"Fairbanks North Star Borough, AK"	"02090"	514	100605	5.109	7.216
	"Haines Borough, AK"	"02100"	14	2496	5.609 (Unreliable)	5.239 (Unreliable)
	"Hoonah-Angoon Census Area, AK"	"02105"	17	2078	8.181 (Unreliable)	7.782 (Unreliable)
	"Juneau Borough, AK"	"02110"	203	32468	6.252	7.243
	"Kenai Peninsula Borough, AK"	"02122"	475	58506	8.119	7.553
	"Ketchikan Gateway Borough, AK"	"02130"	87	13746	6.329	6.295
	"Kodiak Island Borough, AK"	"02150"	51	13732	3.714	5.447
	"Lake and Peninsula Borough, AK"	"02164"	17	1562	10.883 (Unreliable)	14.973 (Unreliable)
	"Matanuska-Susitna Borough, AK"	"02170"	608	104365	5.826	7.669
	"Nome Census Area, AK"	"02180"	88	9917	8.874	13.336
	"North Slope Borough, AK"	"02185"	61	9606	6.350	11.519
	"Northwest Arctic Borough, AK"	"02188"	56	7673	7.298	10.642
	"Petersburg Borough/Census Area, AK"	"02195"	23	3149	7.304	8.034
	"Prince of Wales-Hyder Census Area, AK"	"02198"	63	6347	9.926	15.541
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	Missing	Missing	Missing	Missing
	"Sitka Borough, AK"	"02220"	57	8830	6.455	5.944
	"Skagway Municipality, AK"	"02230"	Suppressed	1088	Suppressed	Suppressed
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	Missing	Missing	Missing	Missing
	"Southeast Fairbanks Census Area, AK"	"02240"	47	6876	6.835	7.780
	"Valdez-Cordova Census Area, AK"	"02261"	54	9355	5.772	7.180
	"Wade Hampton Census Area, AK"	"02270"	54	8049	6.709	11.131
	"Wrangell City and Borough, AK"	"02275"	16	2411	6.636 (Unreliable)	4.861 (Unreliable)
	"Wrangell-Petersburg Census Area, AK"	"02280"	Missing	Missing	Missing	Missing
	"Yakutat Borough, AK"	"02282"	Suppressed	601	Suppressed	Suppressed
	"Yukon-Koyukuk Census Area, AK"	"02290"	55	5526	9.953	8.736
	"Apache County, AZ"	"04001"	681	73112	9.314	9.319
	"Cochise County, AZ"	"04003"	1348	125770	10.718	7.477
	"Coconino County, AZ"	"04005"	852	140908	6.046	6.824
	"Gila County, AZ"	"04007"	835	53556	15.591	9.634
	"Graham County, AZ"	"04009"	279	37599	7.420	7.640
	"Greenlee County, AZ"	"04011"	52	9613	5.409	5.642
	"La Paz County, AZ"	"04012"	272	20317	13.388	7.914
	"Maricopa County, AZ"	"04013"	30748	4242997	7.247	6.574
	"Mohave County, AZ"	"04015"	3250	205249	15.834	9.100
	"Navajo County, AZ"	"04017"	1016	110026	9.234	8.367
	"Pima County, AZ"	"04019"	9508	1016206	9.356	6.913
	"Pinal County, AZ"	"04021"	3023	418540	7.223	5.822
	"Santa Cruz County, AZ"	"04023"	303	45985	6.589	5.410
	"Yavapai County, AZ"	"04025"	2968	225562	13.158	7.134
	"Yuma County, AZ"	"04027"	1510	205631	7.343	5.652
	"Arkansas County, AR"	"05001"	250	18214	13.726	10.176
	"Ashley County, AR"	"05003"	262	20492	12.785	9.778
	"Baxter County, AR"	"05005"	700	41062	17.047	8.522
	"Benton County, AR"	"05007"	1758	258291	6.806	6.867
	"Boone County, AR"	"05009"	461	37304	12.358	8.459
	"Bradley County, AR"	"05011"	144	10996	13.096	9.374
	"Calhoun County, AR"	"05013"	70	5144	13.608	9.073
	"Carroll County, AR"	"05015"	315	27646	11.394	8.150
	"Chicot County, AR"	"05017"	148	10945	13.522	9.325
	"Clark County, AR"	"05019"	260	22657	11.475	9.663
	"Clay County, AR"	"05021"	245	14920	16.421	10.749
	"Cleburne County, AR"	"05023"	391	25264	15.477	8.964
	"Cleveland County, AR"	"05025"	120	8241	14.561	11.425
	"Columbia County, AR"	"05027"	312	23901	13.054	10.004
	"Conway County, AR"	"05029"	273	20937	13.039	9.238
	"Craighead County, AR"	"05031"	944	105835	8.920	8.768
	"Crawford County, AR"	"05033"	648	62267	10.407	8.990
	"Crittenden County, AR"	"05035"	515	49235	10.460	10.441
	"Cross County, AR"	"05037"	244	17037	14.322	11.038
	"Dallas County, AR"	"05039"	125	7469	16.736	10.906
