"Label (Grouping)","Population 18 to 24 years","Population 18 to 24 years!!Less than high school graduate","Population 18 to 24 years!!High school graduate (includes equivalency)","Population 18 to 24 years!!Some college or associate's degree","Population 18 to 24 years!!Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher","White alone, not Hispanic or Latino","White alone, not Hispanic or Latino!!High school graduate or higher","White alone, not Hispanic or Latino!!Bachelor's degree or higher","Black alone","Black alone!!High school graduate or higher","Black alone!!Bachelor's degree or higher","American Indian or Alaska Native alone","American Indian or Alaska Native alone!!High school graduate or higher","American Indian or Alaska Native alone!!Bachelor's degree or higher","Asian alone","Asian alone!!High school graduate or higher","Asian alone!!Bachelor's degree or higher","Native Hawaiian and Other Pacific Islander alone","Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher","Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher","Some other race alone","Some other race alone!!High school graduate or higher","Some other race alone!!Bachelor's degree or higher","Two or more races","Two or more races!!High school graduate or higher","Two or more races!!Bachelor's degree or higher","Hispanic or Latino Origin","Hispanic or Latino Origin!!High school graduate or higher","Hispanic or Latino Origin!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"Alamance County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15,654","2,705","3,848","7,951","1,150","105,035","6,074","9,974","29,577","25,412","10,814","15,755","7,429","(X)","(X)","18,414","15,693","4,403","19,448","16,284","4,343","42,131","36,615","9,428","25,042","20,395","5,010","","77,460","67,714","19,561","73,701","65,908","19,243","19,374","16,054","2,562","417","361","68","1,434","1,200","572","107","107","0","4,700","2,273","181","1,543","1,278","240","8,978","4,424","549","","(X)","(X)","(X)","(X)","","31,523","19,203","25,776","31,950","45,285","53,560"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","17.3%","24.6%","50.8%","7.3%","(X)","5.8%","9.5%","28.2%","24.2%","10.3%","15.0%","7.1%","84.7%","22.1%","(X)","85.2%","23.9%","(X)","83.7%","22.3%","(X)","86.9%","22.4%","(X)","81.4%","20.0%","","(X)","87.4%","25.3%","(X)","89.4%","26.1%","(X)","82.9%","13.2%","(X)","86.6%","16.3%","(X)","83.7%","39.9%","(X)","100.0%","0.0%","(X)","48.4%","3.9%","(X)","82.8%","15.6%","(X)","49.3%","6.1%","","30.7%","16.9%","10.8%","3.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,398","1,589","1,907","3,378","524","48,615","3,166","5,185","14,372","11,307","4,281","6,967","3,337","(X)","(X)","8,763","7,334","1,575","9,393","7,593","2,021","20,043","16,900","4,178","10,416","8,437","2,530","","36,074","30,957","8,868","34,243","30,135","8,802","8,385","6,784","947","193","162","20","638","618","301","85","85","0","2,526","1,088","64","714","570","104","4,642","2,118","136","","(X)","(X)","(X)","(X)","","35,851","22,681","30,833","39,081","52,091","69,643"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","21.5%","25.8%","45.7%","7.1%","(X)","6.5%","10.7%","29.6%","23.3%","8.8%","14.3%","6.9%","82.8%","21.2%","(X)","83.7%","18.0%","(X)","80.8%","21.5%","(X)","84.3%","20.8%","(X)","81.0%","24.3%","","(X)","85.8%","24.6%","(X)","88.0%","25.7%","(X)","80.9%","11.3%","(X)","83.9%","10.4%","(X)","96.9%","47.2%","(X)","100.0%","0.0%","(X)","43.1%","2.5%","(X)","79.8%","14.6%","(X)","45.6%","2.9%","","23.3%","13.4%","8.8%","4.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,256","1,116","1,941","4,573","626","56,420","2,908","4,789","15,205","14,105","6,533","8,788","4,092","(X)","(X)","9,651","8,359","2,828","10,055","8,691","2,322","22,088","19,715","5,250","14,626","11,958","2,480","","41,386","36,757","10,693","39,458","35,773","10,441","10,989","9,270","1,615","224","199","48","796","582","271","22","22","0","2,174","1,185","117","829","708","136","4,336","2,306","413","","(X)","(X)","(X)","(X)","","27,302","13,558","20,467","27,292","40,788","45,028"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
